Table Name Index System Call              Handler Address    Symbol                                                      
64bit        232                          0xffffffff81218420 sys_epoll_wait                                              
64bit        233                          0xffffffff81217a50 SyS_epoll_ctl                                               
64bit        234                          0xffffffff81081650 sys_tgkill                                                  
64bit        235                          0xffffffff812039a0 sys_utimes                                                  
64bit        236                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        237                          0xffffffff811ae7c0 SyS_mbind                                                   
64bit        238                          0xffffffff811ad250 sys_set_mempolicy                                           
64bit        239                          0xffffffff811ad4c0 SyS_get_mempolicy                                           
64bit        240                          0xffffffff812dbd90 SyS_mq_open                                                 
64bit        241                          0xffffffff812dc0e0 SyS_mq_unlink                                               
64bit        242                          0xffffffff812dc260 SyS_mq_timedsend                                            
64bit        243                          0xffffffff812dc5d0 SyS_mq_timedreceive                                         
64bit        244                          0xffffffff812dcb00 SyS_mq_notify                                               
64bit        245                          0xffffffff812dcef0 SyS_mq_getsetattr                                           
64bit        246                          0xffffffff810f12e0 sys_kexec_load                                              
64bit        247                          0xffffffff81070b30 SyS_waitid                                                  
64bit        248                          0xffffffff812e0680 SyS_add_key                                                 
64bit        249                          0xffffffff812e0880 sys_request_key                                             
64bit        250                          0xffffffff812e1f60 SyS_keyctl                                                  
64bit        251                          0xffffffff813697b0 sys_ioprio_set                                              
64bit        252                          0xffffffff81369aa0 sys_ioprio_get                                              
64bit        253                          0xffffffff812140f0 sys_inotify_init                                            
64bit        254                          0xffffffff81214150 SyS_inotify_add_watch                                       
64bit        255                          0xffffffff812144a0 SyS_inotify_rm_watch                                        
64bit        256                          0xffffffff811ad2d0 SyS_migrate_pages                                           
64bit        257                          0xffffffff811d2e60 sys_openat                                                  
64bit        258                          0xffffffff811e48d0 SyS_mkdirat                                                 
64bit        259                          0xffffffff811e44d0 sys_mknodat                                                 
64bit        260                          0xffffffff811d2660 sys_fchownat                                                
64bit        261                          0xffffffff812038e0 SyS_futimesat                                               
64bit        262                          0xffffffff811d8f10 sys_newfstatat                                              
64bit        263                          0xffffffffc03636e0 HOOKED: xingyiquan/cr_unlinkat                              
64bit        264                          0xffffffff811e5290 SyS_renameat                                                
64bit        265                          0xffffffff811e4cf0 SyS_linkat                                                  
64bit        266                          0xffffffff811e4b10 sys_symlinkat                                               
64bit        267                          0xffffffff811d8f30 sys_readlinkat                                              
64bit        268                          0xffffffff811d2510 sys_fchmodat                                                
64bit        269                          0xffffffff811d1e10 sys_faccessat                                               
64bit        270                          0xffffffff811e8430 SyS_pselect6                                                
64bit        271                          0xffffffff811e8d00 SyS_ppoll                                                   
64bit        272                          0xffffffff8106d250 SyS_unshare                                                 
64bit        273                          0xffffffff810e63c0 sys_set_robust_list                                         
64bit        274                          0xffffffff810e6410 SyS_get_robust_list                                         
64bit        275                          0xffffffff81202290 SyS_splice                                                  
64bit        276                          0xffffffff812029e0 sys_tee                                                     
64bit        277                          0xffffffff812031e0 sys_sync_file_range                                         
64bit        278                          0xffffffff81202030 sys_vmsplice                                                
64bit        279                          0xffffffff811bd070 sys_move_pages                                              
64bit        280                          0xffffffff81203850 SyS_utimensat                                               
64bit        281                          0xffffffff81218500 sys_epoll_pwait                                             
64bit        282                          0xffffffff81219420 sys_signalfd                                                
64bit        283                          0xffffffff8121a6e0 SyS_timerfd_create                                          
64bit        284                          0xffffffff8121b560 sys_eventfd                                                 
64bit        285                          0xffffffff811d1da0 SyS_fallocate                                               
64bit        286                          0xffffffff8121a820 SyS_timerfd_settime                                         
64bit        287                          0xffffffff8121a8c0 sys_timerfd_gettime                                         
64bit        288                          0xffffffff81647550 SyS_accept4                                                 
64bit        289                          0xffffffff81219230 sys_signalfd4                                               
64bit        290                          0xffffffff8121b4f0 SyS_eventfd2                                                
64bit        291                          0xffffffff81217770 SyS_epoll_create1                                           
64bit        292                          0xffffffff811f1400 SyS_dup3                                                    
64bit        293                          0xffffffff811dcc20 SyS_pipe2                                                   
64bit        294                          0xffffffff81214080 sys_inotify_init1                                           
64bit        295                          0xffffffff811d4ed0 SyS_preadv                                                  
64bit        296                          0xffffffff811d4fa0 SyS_pwritev                                                 
64bit        297                          0xffffffff810816d0 SyS_rt_tgsigqueueinfo                                       
64bit        298                          0xffffffff8115a3e0 sys_perf_event_open                                         
64bit        299                          0xffffffff81647da0 SyS_recvmmsg                                                
64bit        300                          0xffffffff81215820 SyS_fanotify_init                                           
64bit        301                          0xffffffff81215af0 SyS_fanotify_mark                                           
64bit        302                          0xffffffff81085650 sys_prlimit64                                               
64bit        303                          0xffffffff8122dfb0 sys_name_to_handle_at                                       
64bit        304                          0xffffffff8122e430 sys_open_by_handle_at                                       
64bit        305                          0xffffffff81090c90 sys_clock_adjtime                                           
64bit        306                          0xffffffff81203120 SyS_syncfs                                                  
64bit        307                          0xffffffff81647a70 SyS_sendmmsg                                                
64bit        308                          0xffffffff81095840 sys_setns                                                   
64bit        309                          0xffffffff81085db0 SyS_getcpu                                                  
64bit        310                          0xffffffff8119ece0 SyS_process_vm_readv                                        
64bit        311                          0xffffffff8119ed00 sys_process_vm_writev                                       
64bit        312                          0xffffffff810d6dd0 SyS_kcmp                                                    
64bit        313                          0xffffffff810ee190 SyS_finit_module                                            
64bit        314                          0xffffffff810a03e0 SyS_sched_setattr                                           
64bit        315                          0xffffffff810a06d0 sys_sched_getattr                                           
64bit        316                          0xffffffff811e5280 SyS_renameat2                                               
64bit        317                          0xffffffff8111cc20 sys_seccomp                                                 
64bit        318                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        319                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        320                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        321                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        322                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        323                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        324                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        325                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        326                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        327                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        328                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        329                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        330                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        331                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        332                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        333                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        334                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        335                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        336                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        337                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        338                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        339                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        340                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        341                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        342                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        343                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        344                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        345                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
64bit        346                          0xffffffff81091ca0 compat_sys_s390_ipc                                         
