Access Date;Access Time;Modify Date;Modify Time;Create Date;Create Time;Permissions;UID;Username;GID;Groupname;Size;File
04/12/2013;20:50:57.0000000000;04/12/2013;20:50:57.0000000000;03/05/2015;22:38:27.7658148680;755;0;root;0;root;255;/usr/bin/gnome-system-log-pkexec
01/28/2021;21:42:57.0844400110;03/05/2015;22:38:28.2858148870;03/05/2015;22:38:28.2858148870;777;0;root;0;root;13;/usr/bin/loadkeys
03/05/2015;23:02:37.8870099920;05/12/2014;12:04:51.0000000000;03/05/2015;22:38:29.9578149510;755;0;root;0;root;403744;/usr/bin/ssh-keygen
01/28/2021;21:49:05.3363572450;04/03/2014;14:50:09.0000000000;03/05/2015;22:38:25.6418147870;755;0;root;0;root;173200;/usr/bin/deja-dup
01/13/2015;22:50:14.0000000000;01/13/2015;22:50:14.0000000000;03/05/2015;22:38:29.8898149480;755;0;root;0;root;64816;/usr/bin/split
10/01/2012;16:29:03.0000000000;10/01/2012;16:29:03.0000000000;03/05/2015;22:38:25.7018147900;755;0;root;0;root;22760;/usr/bin/dvd-ram-control
07/01/2014;11:35:00.0000000000;07/01/2014;11:35:00.0000000000;03/05/2015;22:38:28.7738149060;755;0;root;0;root;516;/usr/bin/pfbtopfa
05/02/2014;04:35:25.0000000000;05/02/2014;04:35:25.0000000000;03/05/2015;22:38:29.9498149500;755;0;root;0;root;1456;/usr/bin/ssh-argv0
01/06/2014;09:01:54.0000000000;01/06/2014;09:01:54.0000000000;03/05/2015;22:38:31.2778150010;755;0;root;0;root;61192;/usr/bin/xgc
07/01/2014;11:35:14.0000000000;07/01/2014;11:35:14.0000000000;03/05/2015;22:38:28.0138148770;755;0;root;0;root;10384;/usr/bin/gs
03/05/2015;22:43:32.4458263930;02/12/2015;13:53:38.0000000000;03/05/2015;22:38:31.1338149950;755;0;root;0;root;10432;/usr/bin/uuidgen
04/15/2014;15:32:24.0000000000;04/15/2014;15:32:24.0000000000;03/05/2015;22:38:28.1018148800;755;0;root;0;root;10912;/usr/bin/gvfs-save
03/15/2014;23:00:57.0000000000;03/15/2014;23:00:57.0000000000;03/05/2015;22:38:25.0218147640;755;0;root;0;root;1544;/usr/bin/apturl-gtk
03/09/2015;21:39:23.1008016320;01/22/2014;12:12:36.0000000000;03/05/2015;22:38:27.8218148700;755;0;root;0;root;79608;/usr/bin/groff
03/05/2015;22:38:30.3138149640;03/05/2015;22:38:30.3138149640;03/05/2015;22:38:30.3138149640;777;0;root;0;root;4;/usr/bin/sudoedit
06/04/2013;09:11:53.0000000000;06/04/2013;09:11:53.0000000000;03/05/2015;22:38:25.4058147780;755;0;root;0;root;10408;/usr/bin/colcrt
01/29/2015;14:16:06.0000000000;01/29/2015;14:16:06.0000000000;03/05/2015;22:38:29.5858149370;755;0;root;0;root;90;/usr/bin/scp-dbus-service
03/31/2014;17:22:32.0000000000;03/31/2014;17:22:32.0000000000;03/05/2015;22:38:25.3578147770;755;0;root;0;root;142904;/usr/bin/brltty-ttb
10/01/2012;12:25:41.0000000000;10/01/2012;12:25:41.0000000000;03/05/2015;22:38:28.1778148830;755;0;root;0;root;159560;/usr/bin/isodump
03/12/2015;13:37:25.7557968070;02/09/2015;06:36:26.0000000000;03/05/2015;22:38:25.0378147650;755;0;root;0;root;352856;/usr/bin/as
12/04/2014;17:07:46.0000000000;12/04/2014;17:07:46.0000000000;03/05/2015;22:38:28.2858148870;755;0;root;0;root;59;/usr/bin/localc
06/05/2014;18:25:35.0000000000;06/05/2014;18:25:35.0000000000;03/05/2015;22:38:25.8258147940;755;0;root;0;root;10528;/usr/bin/fc-validate
03/05/2015;22:38:29.9498149500;03/05/2015;22:38:29.9498149500;03/05/2015;22:38:29.9498149500;777;0;root;0;root;29;/usr/bin/ssh-askpass
02/09/2021;19:11:14.7163079970;03/22/2014;15:05:20.0000000000;03/05/2015;22:38:25.4058147780;755;0;root;0;root;6256;/usr/bin/clear
03/27/2014;14:52:03.0000000000;03/27/2014;14:52:03.0000000000;03/05/2015;22:38:28.7978149070;755;0;root;0;root;2038;/usr/bin/pod2html
02/09/2021;19:11:07.8424519990;03/05/2015;22:38:25.4138147790;03/05/2015;22:38:25.4138147790;777;0;root;0;root;7;/usr/bin/cpp
02/23/2014;09:30:42.0000000000;02/23/2014;09:30:42.0000000000;03/05/2015;22:38:25.6378147870;755;0;root;0;root;647;/usr/bin/debconf-escape
03/05/2015;22:38:27.7298148660;03/05/2015;22:38:27.7298148660;03/05/2015;22:38:27.7298148660;777;0;root;0;root;15;/usr/bin/gnome-keyring
03/05/2015;22:54:01.7095098230;06/09/2014;13:23:20.0000000000;03/05/2015;22:38:25.6818147890;755;0;root;0;root;60304;/usr/bin/dpkg-split
03/05/2015;22:38:28.3978148920;03/05/2015;22:38:28.3978148920;03/05/2015;22:38:28.3978148920;777;0;root;0;root;6;/usr/bin/mlabel
02/09/2021;19:11:07.7184519990;01/06/2014;09:27:46.0000000000;03/05/2015;22:38:25.8498147950;755;0;root;0;root;229992;/usr/bin/find
03/09/2015;21:33:05.3447789800;10/07/2014;15:22:12.0000000000;03/05/2015;22:38:25.4058147780;755;0;root;0;root;10448;/usr/bin/clear_console
02/18/2014;18:04:38.0000000000;02/18/2014;18:04:38.0000000000;03/05/2015;22:38:28.1098148810;755;0;root;0;root;18784;/usr/bin/hipercdecode
01/21/2015;08:44:01.0000000000;01/21/2015;08:44:01.0000000000;03/05/2015;22:38:24.9538147610;755;0;root;0;root;6123;/usr/bin/add-apt-repository
01/20/2011;02:59:35.0000000000;01/20/2011;02:59:35.0000000000;03/05/2015;22:38:28.2858148870;755;0;root;0;root;1577;/usr/bin/linux-boot-prober
01/06/2014;09:02:02.0000000000;01/06/2014;09:02:02.0000000000;03/05/2015;22:38:31.2778150010;755;0;root;0;root;6936;/usr/bin/xfsinfo
02/18/2013;08:55:53.0000000000;02/18/2013;08:55:53.0000000000;03/05/2015;22:38:29.8898149480;755;0;root;0;root;10456;/usr/bin/splitfont
03/05/2015;22:38:28.8498149090;03/05/2015;22:38:28.8498149090;03/05/2015;22:38:28.8498149090;777;0;root;0;root;12;/usr/bin/pygettext3
04/28/2014;11:43:39.0000000000;04/28/2014;11:43:39.0000000000;03/05/2015;22:38:28.4298148930;755;0;root;0;root;68640;/usr/bin/msgfmt
02/09/2021;19:11:09.2784519990;01/13/2015;22:50:14.0000000000;03/05/2015;22:38:25.0658147660;755;0;root;0;root;27208;/usr/bin/basename
02/09/2021;19:11:18.1633620450;03/27/2014;14:02:57.0000000000;03/05/2015;22:38:28.1138148810;755;0;root;0;root;160000;/usr/bin/ibus-daemon
10/29/2013;01:19:15.0000000000;10/29/2013;01:19:15.0000000000;03/05/2015;22:38:28.1938148840;755;0;root;0;root;3759;/usr/bin/koi8rxterm
03/15/2013;15:23:50.0000000000;03/15/2013;15:23:50.0000000000;03/05/2015;22:38:28.3418148900;755;0;root;0;root;1081;/usr/bin/lspgpot
03/05/2015;22:54:15.0000000000;02/23/2015;10:57:18.0000000000;03/05/2015;22:54:22.5390905680;755;0;root;0;root;35792;/usr/bin/smbcacls
08/16/2013;03:50:30.0000000000;08/16/2013;03:50:30.0000000000;03/05/2015;22:38:31.2578150000;755;0;root;0;root;10376;/usr/bin/xdriinfo
03/05/2015;22:38:28.8378149080;03/05/2015;22:38:28.8378149080;03/05/2015;22:38:28.8378149080;777;0;root;0;root;6;/usr/bin/pstree.x11
02/12/2015;13:53:38.0000000000;02/12/2015;13:53:38.0000000000;03/05/2015;22:38:28.1658148830;755;0;root;0;root;10456;/usr/bin/ipcmk
05/15/2014;15:03:40.0000000000;05/15/2014;15:03:40.0000000000;03/05/2015;22:38:27.8858148720;755;0;root;0;root;250992;/usr/bin/grub-mkfont
02/10/2015;15:08:18.0000000000;02/10/2015;15:08:18.0000000000;03/05/2015;22:38:25.8778147960;755;0;root;0;root;14648;/usr/bin/free
04/03/2014;14:50:09.0000000000;04/03/2014;14:50:09.0000000000;03/05/2015;22:38:25.6418147870;755;0;root;0;root;36064;/usr/bin/deja-dup-preferences
04/09/2014;10:06:31.0000000000;04/09/2014;10:06:31.0000000000;03/05/2015;22:38:31.0978149940;755;0;root;0;root;40016;/usr/bin/unity-webapps-desktop-file
03/31/2014;17:21:42.0000000000;03/31/2014;17:21:42.0000000000;03/05/2015;22:38:28.7818149060;755;0;root;0;root;15600;/usr/bin/pildriver.py
08/16/2013;03:50:30.0000000000;08/16/2013;03:50:30.0000000000;03/05/2015;22:38:31.3098150020;755;0;root;0;root;19744;/usr/bin/xmessage
01/06/2014;09:01:54.0000000000;01/06/2014;09:01:54.0000000000;03/05/2015;22:38:25.0658147660;755;0;root;0;root;90768;/usr/bin/bitmap
10/01/2012;16:29:03.0000000000;10/01/2012;16:29:03.0000000000;03/05/2015;22:38:25.3618147770;755;0;root;0;root;26944;/usr/bin/btcflash
